YLR452C	YGL178W
YNL308C	YOR299W
YJR091C	YGL229C
YLR141W	YLR295C
YFR002W	YMR129W
YOR098C	YGR218W
YJR121W	YCL039W
YCL032W	YLR423C
YER157W	YLR295C
YBR065C	YLR117C
YGL127C	YOR047C
YBR247C	YNL207W
YDL015C	YDL232W
YER179W	YBL039C
YPR086W	YBL020W
YPR164W	YOL133W
YLL043W	YCR021C
YIL065C	YJR091C
YGR240C	YLR370C
YNR012W	YDR510W
YAL021C	YDR443C
YLR180W	YMR205C
YCR040W	YLR288C
YDR502C	YPL125W
YDR388W	YGL181W
YBR160W	YPL014W
YBR118W	YLR024C
YER031C	YNL263C
YBR118W	YMR104C
YLR295C	YLR094C
YKL129C	YNL271C
YGL180W	YLR423C
YOR206W	YNL061W
YGL179C	YLL050C
YBR011C	YKL108W
YCL040W	YAR003W
YMR094W	YDR034C
YDR226W	YFR028C
YLR212C	YNL126W
YCL018W	YDL145C
YBR127C	YOR270C
YLR372W	YNL048W
YBR101C	YLR074C
YJL087C	YHR082C
YMR205C	YNL290W
YHR114W	YGL104C
YKR026C	YBR227C
YKR029C	YHR198C
YOR061W	YDR365C
YJL005W	YJL026W
YGL016W	YBR217W
YLR379W	YJR091C
YCR035C	YGL127C
YOR037W	YDL199C
YHL048W	YJL108C
YOL090W	YFR037C
YMR284W	YDR394W
YLR442C	YLR180W
YJL194W	YML065W
YJL029C	YLR262C
YIL038C	YGR134W
YER178W	YKL113C
YBR278W	YJR091C
YBL099W	YDL147W
YJL052W	YOR230W
YCL018W	YPL203W
YHR140W	YJL214W
YBR160W	YEL032W
YOL139C	YJR035W
YML031W	YPR021C
YDR131C	YDL043C
YMR125W	YIL061C
YBR160W	YDL089W
YFL018C	YGL081W
YDR110W	YML064C
YCL040W	YLR320W
YOR261C	YDL097C
YCL018W	YDL134C
YOL051W	YER022W
YMR125W	YGR013W
YER173W	YPL061W
YJR112W	YDR150W
YER031C	YPL192C
YPL043W	YLR427W
YDR488C	YDR171W
YHR063C	YPR180W
YPR025C	YOR173W
YLL019C	YOL055C
YPR120C	YOR264W
YER012W	YKL206C
YPR132W	YDR315C
YFR037C	YML127W
YOR326W	YGL106W
YGL120C	YMR049C
YHR066W	YNL061W
YMR127C	YOR213C
YHR165C	YIL148W
YNL061W	YOR005C
Q0085	YDR377W
YBR084W	YHR089C
YFR036W	YLL051C
YJL008C	YNL106C
YOR117W	YBR272C
YNL064C	YHR120W
YBR067C	YJR091C
YLR058C	YDL043C
YAR018C	YDL239C
YCR057C	YBR247C
YDR037W	YJL124C
YBR205W	YBR017C
YPR086W	YML105C
YKL095W	YLR424W
YBR196C	YIL007C
YIL046W	YNL245C
YNL037C	YBR017C
YDL081C	YPR078C
YBR160W	YLR096W
YGR282C	YDL225W
YGL116W	YJL008C
YNL110C	YOL077C
YER031C	YGL198W
YDR343C	YLR019W
YDL014W	YGR159C
YPR086W	YML019W
YBR059C	YMR144W
YIL021W	YGR005C
YBR207W	YEL022W
YKR086W	YOL063C
YKL152C	YLR288C
YGL220W	YLL029W
YDR225W	YGR002C
YMR139W	YNL078W
YER012W	YFR050C
YKL018W	YPL138C
YIL132C	YLR376C
YLR259C	YIL143C
YGL223C	YNL041C
YDR034C	YGR124W
YMR108W	YLR175W
YGR195W	YOL142W
YHR005C	YDL100C
YLL015W	YDL138W
YOR037W	YOR299W
YBR020W	YOL139C
YKL104C	YPL259C
YGR132C	YAR002C-A
