YFR002W	YMR129W
YOR098C	YGR218W
YBR065C	YLR117C
YBR247C	YNL207W
YDL015C	YDL232W
YPR086W	YBL020W
YPR164W	YOL133W
YGR240C	YLR370C
YAL021C	YDR443C
YBR160W	YPL014W
YER031C	YNL263C
YKL129C	YNL271C
YOR206W	YNL061W
YBR011C	YKL108W
YDR226W	YFR028C
YLR212C	YNL126W
YJL087C	YHR082C
YJL005W	YJL026W
YOL090W	YFR037C
YJL194W	YML065W
YIL038C	YGR134W
YBR160W	YEL032W
YMR125W	YIL061C
YBR160W	YDL089W
YOR261C	YDL097C
YOL051W	YER022W
YMR125W	YGR013W
YJR112W	YDR150W
YHR063C	YPR180W
YPR025C	YOR173W
YFR037C	YML127W
YOR326W	YGL106W
YGL120C	YMR049C
YHR066W	YNL061W
YHR165C	YIL148W
YNL061W	YOR005C
Q0085	YDR377W
YOR117W	YBR272C
YCR057C	YBR247C
YDR037W	YJL124C
YPR086W	YML105C
YKL095W	YLR424W
YBR196C	YIL007C
YIL046W	YNL245C
YGL116W	YJL008C
YNL110C	YOL077C
YER031C	YGL198W
YDL014W	YGR159C
YPR086W	YML019W
YIL021W	YGR005C
YBR207W	YEL022W
YKR086W	YOL063C
YER012W	YFR050C
YLR259C	YIL143C
YGL223C	YNL041C
YMR108W	YLR175W
YGR195W	YOL142W
YJL164C	YPL203W
YHR069C	YDR280W
YKR024C	YHR082C
YBR247C	YOL010W
YGR254W	YDL145C
YIR003W	YLR074C
YJR023C	YNL118C
YPR141C	YMR198W
YGR195W	YNL232W
YGR091W	YOR308C
YER082C	YJL111W
YER112W	YDL145C
YCR053W	YLR314C
YNL118C	YOL151W
YKR081C	YPL211W
YJR017C	YIL075C
YIL062C	YNR035C
YER112W	YLR147C
YML023C	YLR143W
YCL011C	YDR381W
YNL182C	YPR016C
YOR036W	YJR015W
YML099C	YMR042W
YGL086W	YJL030W
YML112W	YNL118C
YGL240W	YFL039C
YMR168C	YDL064W
YMR116C	YGR090W
YHR088W	YPR016C
YJL058C	YGR071C
YJR050W	YPL213W
YPL237W	YBR079C
YMR108W	YPL140C
YGL079W	YGR113W
YLR196W	YOL151W
YPL043W	YER006W
YDL013W	YIL061C
YNL189W	YDR240C
YEL043W	YGR119C
YML085C	YDR138W
YOR232W	YFR003C
YNL312W	YJR144W
YML010W	YBR236C
YBL006C	YDR489W
YBR055C	YHR208W
YIL004C	YIL109C
YML064C	YJL008C
YGR094W	YLR175W
YPL043W	YPR072W
YPR178W	YNL147W
YDR137W	YLR039C
YNL161W	YFL039C
YPR086W	YMR193W
YOR341W	YOR224C
YLR438C-A	YDR378C
YKL095W	YMR125W
YJR045C	YBR136W
YLR006C	YDL153C
YER148W	YGR104C
YPR110C	YOR224C
YLR428C	YPL242C
